x               rho            P              T            ur           uphi        uz         Br           Bphi        Bz
0.010000        0.99947        0.99949        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010163        0.99945        0.99947        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010328        0.99942        0.99944        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010496        0.99939        0.99941        1.000        1.000        1.00       -0.0       -0.010       -0.01       -0.0
0.010667        0.99936        0.99938        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.010840        0.99933        0.99935        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011016        0.99930        0.99932        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011196        0.99927        0.99929        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011378        0.99923        0.99926        1.000        1.000        1.00       -0.0       -0.011       -0.01       -0.0
0.011563        0.99920        0.99923        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011751        0.99917        0.99920        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.011942        0.99913        0.99916        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012136        0.99910        0.99913        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012334        0.99906        0.99909        1.000        1.000        1.00       -0.0       -0.012       -0.01       -0.0
0.012534        0.99903        0.99906        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012738        0.99899        0.99902        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.012945        0.99895        0.99899        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013156        0.99891        0.99895        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013370        0.99887        0.99891        1.000        1.000        1.00       -0.0       -0.013       -0.01       -0.0
0.013587        0.99884        0.99887        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.013808        0.99880        0.99884        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014033        0.99875        0.99880        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014261        0.99871        0.99876        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014493        0.99867        0.99872        1.000        1.000        1.00       -0.0       -0.014       -0.01       -0.0
0.014729        0.99863        0.99868        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
0.014968        0.99859        0.99863        1.000        1.000        1.00       -0.0       -0.015       -0.01       -0.0
